id,serviceId,name,description,extent,extentType,uri,serviceAtLocationId
eb720cc1-6033-4576-a484-2fc49c7d9297,bbf74b3f-bb84-487d-a18f-d4358a9fe549,"Bastrop, Caldwell, Hays, Travis, and Williamson Counties","Bastrop, Caldwell, Hays, Travis, and Williamson Counties","[{""scope"":""county"",""county"":""Bastrop"",""state"":""TX""},{""scope"":""county"",""county"":""Caldwell"",""state"":""TX""},{""scope"":""county"",""county"":""Hays"",""state"":""TX""},{""scope"":""county"",""county"":""Williamson"",""state"":""TX""},{""scope"":""county"",""county"":""Travis"",""state"":""TX""}]",TEXT,,7e81dae6-33f8-49fd-bd23-f7344221b06e
fdaf944b-a0fc-418c-95ce-f272d57cf6a5,127d6a8d-c65e-4a0c-99c3-104257973cdf,"Bastrop, Caldwell, Hays, Travis, and Williamson Counties","Bastrop, Caldwell, Hays, Travis, and Williamson Counties","[{""scope"":""county"",""county"":""Bastrop"",""state"":""TX""},{""scope"":""county"",""county"":""Caldwell"",""state"":""TX""},{""scope"":""county"",""county"":""Hays"",""state"":""TX""},{""scope"":""county"",""county"":""Travis"",""state"":""TX""},{""scope"":""county"",""county"":""Williamson"",""state"":""TX""}]",TEXT,,f078a860-ef31-4d15-9b49-46113bec67a7
605949a9-ba25-4eca-bab5-e24455136bf0,b4d2b053-5cd3-4c05-9442-14797ebbc6dc,"Bastrop, Caldwell, Hays, Travis, and Williamson Counties","Bastrop, Caldwell, Hays, Travis, and Williamson Counties","[{""scope"":""county"",""county"":""Bastrop"",""state"":""TX""},{""scope"":""county"",""county"":""Hays"",""state"":""TX""},{""scope"":""county"",""county"":""Travis"",""state"":""TX""},{""scope"":""county"",""county"":""Williamson"",""state"":""TX""},{""scope"":""county"",""county"":""Caldwell"",""state"":""TX""}]",TEXT,,0c88d45f-553b-411c-85da-967f5f31a281
18553ef6-85c2-4f64-a133-92235757f97f,76d629f3-fdd4-4891-b592-aa6fdeea71db,"Bastrop, Hays, Travis, and Williamson Counties","Bastrop, Hays, Travis, and Williamson Counties","[{""scope"":""county"",""county"":""Bastrop"",""state"":""TX""},{""scope"":""county"",""county"":""Hays"",""state"":""TX""},{""scope"":""county"",""county"":""Travis"",""state"":""TX""},{""scope"":""county"",""county"":""Williamson"",""state"":""TX""}]",TEXT,,338053ef-a917-43a8-b854-91503bb06649
30376a26-c23d-4db4-981a-ccc59f1b4de4,b13524c2-2a44-4dc4-9419-55e3ed382f6b,"Austin, Texas","Austin, Texas","[{""scope"":""city"",""city"":""Austin"",""state"":""TX""},{""scope"":""city"",""city"":""Austin"",""state"":""TX""},{""scope"":""city"",""city"":""Austin"",""state"":""TX""}]",TEXT,,e7399a89-2998-4e8e-89b5-c0eee1ef8c77
57ac61a6-14b2-4417-b606-3f862800873f,bbd3a2a0-4fa4-4716-8936-a8061284b8d9,"City of Austin in Hays, Travis, and Williamson Counties","City of Austin in Hays, Travis, and Williamson Counties","[{""scope"":""city"",""city"":""Austin"",""state"":""TX""},{""scope"":""city"",""city"":""Austin"",""state"":""TX""},{""scope"":""city"",""city"":""Austin"",""state"":""TX""}]",TEXT,,df823d43-e11f-447c-b089-ff0987e1c37b
88eed0e5-6109-466d-b9c4-3aa9436a99c9,4d9d871a-1ac8-4452-a31c-7393d91637ac,Statewide,Statewide,"[{""scope"":""state"",""state"":""TX""}]",TEXT,,964eacb8-014f-490b-9395-2eb554250877
412a68a6-23d5-4a19-9ad3-cd7640c22974,e0bc71ef-6e7c-4a72-9da8-c02b1ff36375,Statewide,Statewide,"[{""scope"":""state"",""state"":""TX""}]",TEXT,,b3b600ad-fe42-4539-972c-1bb882db7895
9ab5728a-260f-4422-bbfd-04e92ccf6224,574acef0-5d78-4d13-a486-e1cefe96a042,Statewide,Statewide,"[{""scope"":""state"",""state"":""TX""}]",TEXT,,d0412881-7ef7-4ce7-9b87-e30e889a266d
a7215f01-0277-4fef-9340-1fe9759a0fb3,45ead14f-cf76-4005-bb96-efff57e69d16,"Bastrop, Blanco, Burnet, Caldwell, Fayette, Hays, Lee, Llano, Travis, and Williamson","Bastrop, Blanco, Burnet, Caldwell, Fayette, Hays, Lee, Llano, Travis, and Williamson","[{""scope"":""county"",""county"":""Bastrop"",""state"":""TX""},{""scope"":""county"",""county"":""Blanco"",""state"":""TX""},{""scope"":""county"",""county"":""Burnet"",""state"":""TX""},{""scope"":""county"",""county"":""Caldwell"",""state"":""TX""},{""scope"":""county"",""county"":""Fayette"",""state"":""TX""},{""scope"":""county"",""county"":""Hays"",""state"":""TX""},{""scope"":""county"",""county"":""Lee"",""state"":""TX""},{""scope"":""county"",""county"":""Llano"",""state"":""TX""},{""scope"":""county"",""county"":""Travis"",""state"":""TX""},{""scope"":""county"",""county"":""Williamson"",""state"":""TX""}]",TEXT,,85629a0a-013e-422a-86ce-cef4b439679e
e6064132-bcec-491b-b636-c84b2f9fac52,5eb49ccf-3c73-4cd0-b1a0-479d903413db,"Bastrop, Blanco, Burnet, Caldwell, Fayette, Hays, Lee, Llano, Travis, and Williamson Counties","Bastrop, Blanco, Burnet, Caldwell, Fayette, Hays, Lee, Llano, Travis, and Williamson Counties","[{""scope"":""county"",""county"":""Travis"",""state"":""TX""},{""scope"":""county"",""county"":""Bastrop"",""state"":""TX""},{""scope"":""county"",""county"":""Blanco"",""state"":""TX""},{""scope"":""county"",""county"":""Burnet"",""state"":""TX""},{""scope"":""county"",""county"":""Caldwell"",""state"":""TX""},{""scope"":""county"",""county"":""Fayette"",""state"":""TX""},{""scope"":""county"",""county"":""Hays"",""state"":""TX""},{""scope"":""county"",""county"":""Lee"",""state"":""TX""},{""scope"":""county"",""county"":""Llano"",""state"":""TX""},{""scope"":""county"",""county"":""Williamson"",""state"":""TX""}]",TEXT,,70d1b8e5-e412-46d8-a2a8-396a99e289d8
