id,serviceId,description,locationId
7e81dae6-33f8-49fd-bd23-f7344221b06e,bbf74b3f-bb84-487d-a18f-d4358a9fe549,"Provides a range of outreach and sexual health education services in the community, including at: schools, colleges, health fairs, bars, cultural events. Offers the PrEP Pop-up series to bring Pre-Exposure Prophylaxis (PrEP) medical care to nightclubs.",d42ed3ea-7e2b-4268-9675-deb1a21eb5f1
f078a860-ef31-4d15-9b49-46113bec67a7,127d6a8d-c65e-4a0c-99c3-104257973cdf,"Provides case management services for adults living with HIV.Helps with the following: Assistance accessing community resources, such as: food, housing, benefit programs Social support  Access and maintenance of primary medical care Adherence to HIV medical treatment Maintaining/improving quality of life Education and awareness of HIV/AIDS issues Identifying and decreasing barriers to services Continuity of care and coordination of services Increasing self-sufficiency so that case management services are no longer needed",d42ed3ea-7e2b-4268-9675-deb1a21eb5f1
0c88d45f-553b-411c-85da-967f5f31a281,b4d2b053-5cd3-4c05-9442-14797ebbc6dc,"Operates a clinic providing the following medical services: HIV testing and treatment   Pre-Exposure Prophylaxis (PrEP) medication to reduce the risk of HIV infection   Post-Exposure Prophylaxis (PEP) medication taken after a recent potential HIV exposure   Hepatitis C testing and treatment   Sexually transmitted infection (STI) testing and treatment for current patients. Wellness visits, including: gynecological exams, pelvic exams, or annual exams for individuals with a vulva, breasts, or a uterus regardless of gender identity.  ?Also provides Gender Affirming Care, to current patients who are receiving PrEP or HIV medical care at ASHwell. Works to improve the health of trans and gender nonconforming communities. Works with patient to achieve goals, including providing hormone therapy.May offer behavioral health, including individual and group counseling, to current patients.",d42ed3ea-7e2b-4268-9675-deb1a21eb5f1
338053ef-a917-43a8-b854-91503bb06649,76d629f3-fdd4-4891-b592-aa6fdeea71db,"Provides youth development programs designed to promote personal and social responsibility, increase environmental awareness, develop leadership, respect diversity, encourage active life-styles. 

Offers the following programs:
<ul><li>Afterschool programs at participating schools in the greater Austin area, which vary each year.
<li>Enrollment for afterschool programs must be completed through child's school campus directly.   
<li>Nature and Science themed Summer day camps for children, ages 6 (who have completed Kindergarten) - 15 years old, offering: field trips, swimming, hiking, games, experiments, and crafts.   
<li>Traditional Clubs providing small, co-ed groups for children in Pre-Kindergarten through twelfth grade who meet with adult volunteer club leaders in Hays, Travis, and Williamson Counties.   
<li>Outdoor Clubs for youth and their families offering outdoor group experiences (e.g. backpacking and paddling).</ul>",9ac6d4b0-ac76-4c3b-a6de-05c282bf8c93
e7399a89-2998-4e8e-89b5-c0eee1ef8c77,b13524c2-2a44-4dc4-9419-55e3ed382f6b,"Provides a membership-based program giving adults, ages 55 years and older, access to the following: Social activities, including: a book club, movie group, discussion groups, game nights, cultural events, and get-togethers (e.g. coffee, lunch, happy hour). Informational programs focusing on aging-related topics, including: technology, health and wellbeing, and local resources for seniors and their families. Supportive services provided by volunteers, such as:   transportation to the doctor or grocery store, technology assistance (e.g. using the computer, placing an online order for grocery delivery), assistance with running errands, minor household repairs or tasks (e.g. hanging pictures), pet care, and caring companionship (e.g. check-in calls or visits). 
May provide referrals to member-recommended professional service providers (e.g. plumbers, home repair/handypersons, home care providers). Many of the providers offer discounts for Capital City Village members. Offers volunteer opportunities to assist seniors with transportation, technology, errands, minor household repairs/tasks, pet care, and friendly visits or calls.",dc946b45-e675-46f5-adb2-c1ca5977f772
df823d43-e11f-447c-b089-ff0987e1c37b,bbd3a2a0-4fa4-4716-8936-a8061284b8d9,"Operates 45 public pool facilities, which includes 22 neighborhood pools, 3 community pools, 7 municipal pools, 1 wading pool, 11 splash pads, and Barton Springs Pool. Visit City of Austin Swimming Facilities for locations and hours of operation. 
Provides instructional programs for all ages. A wide variety of swim lessons are available for students, ages 6 months to adult. For dates, locations and registration information visit City of Austin Swimming Lessons. 
Provides lifeguard training classes for persons, ages 15 years and older. Water safety instructor training classes are available for persons, ages 16 years and older who wish to apply to work for the Aquatic Division. Visit City of Austin Lifeguard Programs for information.",6dd4596c-93c4-4995-95ff-aea1dd8d23be
964eacb8-014f-490b-9395-2eb554250877,4d9d871a-1ac8-4452-a31c-7393d91637ac,"Works with legislators, state agencies, and partner organizations to create public policy that protects or empowers Texans with disabilities. Organizes collaborative awareness raising events, such as letter writing campaigns, rallies, and presentations on subjects such as accessible voting, civil rights, and new state level initiatives with the potential to affect the disability community.Agency does not provide direct services.",036a2b3e-1625-4069-b431-66ae2056836f
b3b600ad-fe42-4539-972c-1bb882db7895,e0bc71ef-6e7c-4a72-9da8-c02b1ff36375,"Provides a museum that curates historical documents, photos, and recordings from a President's political career. Each library has unique items, replicated Oval Office, and personal collections from each President. Materials are also available for individuals to use for personal research.",f02f4dea-ff4f-4516-ba2d-b2bf10945b48
d0412881-7ef7-4ce7-9b87-e30e889a266d,574acef0-5d78-4d13-a486-e1cefe96a042,"Advocates for the injured employees of Texas by: educating and providing general assistance regarding the workers' compensation system; and providing an ombudsman once a dispute proceeding has been scheduled to assist the injured employee throughout the dispute process.Refers injured employees' complaints to the appropriate entities and licensing boards. Provides injured employee referrals to other local, state, and federal agencies as appropriate.",c48366a0-eb0f-4b5d-b5ef-b47fbb21fdc4
85629a0a-013e-422a-86ce-cef4b439679e,45ead14f-cf76-4005-bb96-efff57e69d16,"Provides advanced cardiac care, including emergency services, diagnostic services and treatment. Treatment options may include cardiac catheterization, open-heart surgery, and cardiac rehabilitation programs. Offers the Texas Cardiac Arrhythmia Institute to care for patients suffering from cardiac arrhythmias.",01a2b0e4-e726-43ee-8077-4f0f1f033d66
