id,name,description,url,email,status,interpretationServices,applicationProcess,feesDescription,accreditations,eligibilityDescription,minimumAge,maximumAge,assuredDate,assurerEmail,alert,lastModified,organizationId,category
bbf74b3f-bb84-487d-a18f-d4358a9fe549,Community Engagment,"Provides a range of outreach and sexual health education services in the community, including at: schools, colleges, health fairs, bars, cultural events. Offers the PrEP Pop-up series to bring Pre-Exposure Prophylaxis (PrEP) medical care to nightclubs.",http://www.ashwellatx.org,esteban@ashwellatx.org,ACTIVE,"English, Spanish",Call for information.,,,"Adults at risk for or living with HIV and Hepatitis C, with special focus on African American and Latino gay and bisexual men and African American women",,,,,,,3d019a5f-7c8b-4dac-b47a-d09abd7aa8d2,Education
127d6a8d-c65e-4a0c-99c3-104257973cdf,Care Coordination,"Provides case management services for adults living with HIV.Helps with the following: Assistance accessing community resources, such as: food, housing, benefit programs Social support  Access and maintenance of primary medical care Adherence to HIV medical treatment Maintaining/improving quality of life Education and awareness of HIV/AIDS issues Identifying and decreasing barriers to services Continuity of care and coordination of services Increasing self-sufficiency so that case management services are no longer needed",http://www.ashwellatx.org,,ACTIVE,"English, Spanish",Call to complete an intake and begin services.,,,"Adults, 18 years or older, living with HIVCall for complete eligibility requirements",,,,,,,3d019a5f-7c8b-4dac-b47a-d09abd7aa8d2,Health Care
b4d2b053-5cd3-4c05-9442-14797ebbc6dc,Medical Services,"Operates a clinic providing the following medical services: HIV testing and treatment   Pre-Exposure Prophylaxis (PrEP) medication to reduce the risk of HIV infection   Post-Exposure Prophylaxis (PEP) medication taken after a recent potential HIV exposure   Hepatitis C testing and treatment   Sexually transmitted infection (STI) testing and treatment for current patients. Wellness visits, including: gynecological exams, pelvic exams, or annual exams for individuals with a vulva, breasts, or a uterus regardless of gender identity.  ?Also provides Gender Affirming Care, to current patients who are receiving PrEP or HIV medical care at ASHwell. Works to improve the health of trans and gender nonconforming communities. Works with patient to achieve goals, including providing hormone therapy.May offer behavioral health, including individual and group counseling, to current patients.",http://www.ashwellatx.org,ben@ashwellatx.org,ACTIVE,"English, Spanish",All medical services are available by appointment. Call to schedule an appointment.,"Office visits and lab tests: NoneMedicine: Most are no-cost to patients, regardless of health insurance status",,"Anyone living in the service area. Call for complete eligibility requirements. Serves all patients, with or without health insurance, and regardless of gender identity",,,,,,,3d019a5f-7c8b-4dac-b47a-d09abd7aa8d2,Health Care
76d629f3-fdd4-4891-b592-aa6fdeea71db,Youth Services,"Provides youth development programs designed to promote personal and social responsibility, increase environmental awareness, develop leadership, respect diversity, encourage active life-styles. 

Offers the following programs:
<ul><li>Afterschool programs at participating schools in the greater Austin area, which vary each year.
<li>Enrollment for afterschool programs must be completed through child's school campus directly.   
<li>Nature and Science themed Summer day camps for children, ages 6 (who have completed Kindergarten) - 15 years old, offering: field trips, swimming, hiking, games, experiments, and crafts.   
<li>Traditional Clubs providing small, co-ed groups for children in Pre-Kindergarten through twelfth grade who meet with adult volunteer club leaders in Hays, Travis, and Williamson Counties.   
<li>Outdoor Clubs for youth and their families offering outdoor group experiences (e.g. backpacking and paddling).</ul>",http://www.camp-fire.org,info@camp-fire.org,ACTIVE,"English, Spanish",Registration is required for camps and clubs. Call or visit the website to register. Enrollment for afterschool programs must be completed through child's school directly.,"Annual Club Dues: $30.00. 
Summer Camps: $425 per session, $50 per week for transportation. Program scholarships may be available; call for information",,"Afterschool Programs: Students attending Austin, Manor, and Del Valle ISD participating schools. Camps: Children, ages 6 to 14 years. Clubs: Children in grades Pre-K to 12th, and their families",,,,,,,996a1035-84d7-4fbc-954d-db23b82e6f93,Individual and Family Life
b13524c2-2a44-4dc4-9419-55e3ed382f6b,Aging in Place,"Provides a membership-based program giving adults, ages 55 years and older, access to the following: Social activities, including: a book club, movie group, discussion groups, game nights, cultural events, and get-togethers (e.g. coffee, lunch, happy hour). Informational programs focusing on aging-related topics, including: technology, health and wellbeing, and local resources for seniors and their families. Supportive services provided by volunteers, such as:   transportation to the doctor or grocery store, technology assistance (e.g. using the computer, placing an online order for grocery delivery), assistance with running errands, minor household repairs or tasks (e.g. hanging pictures), pet care, and caring companionship (e.g. check-in calls or visits). 
May provide referrals to member-recommended professional service providers (e.g. plumbers, home repair/handypersons, home care providers). Many of the providers offer discounts for Capital City Village members. Offers volunteer opportunities to assist seniors with transportation, technology, errands, minor household repairs/tasks, pet care, and friendly visits or calls.",http://www.capitalcityvillage.org/,info@capitalcityvillage.org,ACTIVE,English,"Eligible adults must be 55 or older and living independently in Austin to become a member and receive services. Call 512-524-279 to request membership application by regular mail or visit <a href=""https://wwww.capitalcityvillage.org""target=""_blank'"">capitalcityvillage.org</a> to print, complete and mail your application to <b>Capital City Village, 3710 Cedar Street, Suite 283, Austin, TX 78705</b>.",Membership fee for single individual: $100/yr - $600/yr Membership fee for family membership: $200/yr - $800/yr. Membership fee is based on adjusted gross income; call or visit website for more information Sliding-fee scale is available based on household income; call or visit website for more information. Most activities are free or low-cost for members; call for more information,,"Adults, ages 55 years and older, with an Austin address. Eligible seniors must become a member to receive services",,,,,,,6ebc7274-a356-4554-869e-99c5fe345b7a,Individual and Family Life
bbd3a2a0-4fa4-4716-8936-a8061284b8d9,Aquatics Services,"Operates 45 public pool facilities, which includes 22 neighborhood pools, 3 community pools, 7 municipal pools, 1 wading pool, 11 splash pads, and Barton Springs Pool. Visit City of Austin Swimming Facilities for locations and hours of operation. 
Provides instructional programs for all ages. A wide variety of swim lessons are available for students, ages 6 months to adult. For dates, locations and registration information visit City of Austin Swimming Lessons. 
Provides lifeguard training classes for persons, ages 15 years and older. Water safety instructor training classes are available for persons, ages 16 years and older who wish to apply to work for the Aquatic Division. Visit City of Austin Lifeguard Programs for information.",http://www.austintexas.gov/department/pools-and-swimming,aquaticsoffice@austintexas.gov,ACTIVE,English,Call or visit the website for information.,Call for fee information Financial aid may be available; call for information Non-residents of the City of Austin are charged an additional fee,,"Pools and splash pads: Anyone in the service area

Swim lessons: Children and adults, ages 6 months and older

Lifeguard training: Youth and adults, ages 15 years and older

Water safety instructor training: Youth and adults, ages 16 years and older",,,,,,,26e8489a-7476-4c07-94cb-5afd61fefd9a,Individual and Family Life
4d9d871a-1ac8-4452-a31c-7393d91637ac,Advocacy for the Disability Community,"Works with legislators, state agencies, and partner organizations to create public policy that protects or empowers Texans with disabilities. Organizes collaborative awareness raising events, such as letter writing campaigns, rallies, and presentations on subjects such as accessible voting, civil rights, and new state level initiatives with the potential to affect the disability community.Agency does not provide direct services.",http://www.txdisabilities.org,info@txdisabilities.org,ACTIVE,English,Call or visit website for information,,,Open to the public,,,,,,,1809bd56-7806-4015-ab43-91f80198c21d,Target Populations
e0bc71ef-6e7c-4a72-9da8-c02b1ff36375,Presidential Libraries,"Provides a museum that curates historical documents, photos, and recordings from a President's political career. Each library has unique items, replicated Oval Office, and personal collections from each President. Materials are also available for individuals to use for personal research.",,,ACTIVE,English,"Ticket may be purchased online, in-person at the Admissions Desk, or by calling the Box Office For information on directions and parking, visit Plan Your Visit. Call to make a reservations for tours or the research room.",Varies per location,,Open to the public,,,,,,,24d20302-7716-48b8-9a07-800a80de879e,Organizational/Community Services
574acef0-5d78-4d13-a486-e1cefe96a042,Ombudsman Program,"Advocates for the injured employees of Texas by: educating and providing general assistance regarding the workers' compensation system; and providing an ombudsman once a dispute proceeding has been scheduled to assist the injured employee throughout the dispute process.Refers injured employees' complaints to the appropriate entities and licensing boards. Provides injured employee referrals to other local, state, and federal agencies as appropriate.",http://www.oiec.texas.gov,OIECInbox@oiec.texas.gov,ACTIVE,"English, Spanish","Call or see the website for assistance. Complete and return an OIEC Intake Packet to start receiving help from OIEC. Visit Local Field Offices to find nearest location for assistance. For OIEC's resource list, visit website.",,,Injured workers disputing workers' compensation claims,,,,,,,66008adb-1348-4106-b03e-a39b8b2ed86d,Income Support and Employment
45ead14f-cf76-4005-bb96-efff57e69d16,Cardiac Care,"Provides advanced cardiac care, including emergency services, diagnostic services and treatment. Treatment options may include cardiac catheterization, open-heart surgery, and cardiac rehabilitation programs. Offers the Texas Cardiac Arrhythmia Institute to care for patients suffering from cardiac arrhythmias.",http://stdavids.com/specialties/cardiology,,ACTIVE,"English, Spanish, Multi-Language Line available",Call or visit the website for information about cardiac services.,Call for information about fees and insurance plans accepted,,Anyone living in the service area,,,,,,,2d876b03-bc52-408e-81c9-9a798c27b538,Health Care
5eb49ccf-3c73-4cd0-b1a0-479d903413db,Hospital Services,"Operates acute care hospitals providing inpatient, outpatient, and emergency medical services for a range of medical and surgical procedures.",http://www.stdavids.com,,ACTIVE,"English, Spanish, Multi-Language Line available",Intake available through the Admissions Department or through the Emergency Department.,Fees vary by service; call for informationAccepts most insurance plans; call for additional information,,Anyone in the service areaAdmission is determined by a physician,,,,,,,2d876b03-bc52-408e-81c9-9a798c27b538,Health Care
30e02b08-16f7-4639-bf2d-6bbca094c46b,Inpatient Rehabilitation Services,"Provides inpatient rehabilitation services to help manage the following: Stroke Brain Injury Spinal Cord Injury Neurological conditions (i.e. Parkinson's disease, multiple sclerosis) Spine surgery Orthopedics, joint replacement, or arthritis Muscular conditions Lymphatic disorders",http://stdavids.com/specialties/physical-therapy-and-rehabilitation/,,ACTIVE,English,Call Rehabilitation Admissions to schedule an appointment.Pre-admission review team will review patient's medical history and meet with patient to determine if admission criteria are met.,Fees vary by service; call for informationAccepts most insurance plans; call for additional information,,Admission required by admission review team,,,,,,,2d876b03-bc52-408e-81c9-9a798c27b538,Mental Health and Substance Abuse
