id,organizationStatus,name,alternateName,description,email,website,taxStatus
1,active,Caldwell County Court at Law Judge,,,anna.velasquez@co.caldwell.tx.us,https://www.co.caldwell.tx.us/page/caldwell.County.Court,"[""None or unknown""]"
4,active,South Central Severe Weather - March 2022,,Informational,,,"[""None or unknown""]"
15,active,2020 Census - South Central,,Resources related to the 2020 Census for South Central area.,,,"[""Government""]"
25,active,33rd and 424th Judicial District Attorney,,"Represents the state and victims of crime in the prosecution of felony criminal cases committed in Blanco, Burnet, Llano, and San Saba Counties. Provides victim services to victims of felony crimes working with the District Attorney.",,https://www.33districtattorney.com,"[""Government - State""]"
30,active,4:12 Kids,4 12 Kids; Four Twelve Kids,"Hosts events throughout the year to support the community, such as: Prom Shop, Baby Expo, and a Back to School event. Offers clothing and personal hygiene kits.",,https://www.412kids.org,"[""Nonprofit - Incorporated""]"
43,active,A New Entry,A New Entry Inc.; New Entry Transitional Housing; A New Entry McCabe,Provides supportive housing services for formerly incarcerated individuals and individuals seeking sober living.,,http://anewentry.org,"[""Nonprofit - Incorporated""]"
49,active,"A Wish With Wings, Inc.",A Wish With Wings,Grants wishes for children 3-18 years of age who have life-threatening conditions. Volunteer opportunities available.,,https://www.awishwithwings.org,"[""Nonprofit - Incorporated""]"
60,active,AARP (American Association of Retired Persons) Foundation,,"Provides food, housing, income and personal connection; and legal advocacy to older adults.",,http://www.aarp.org/,"[""Nonprofit - Incorporated""]"
64,active,AARP Foundation - Greater Austin Area,American Association of Retired Persons Foundation,Facilitates the Senior Community Service Employment program in the Greater Austin area.,,https://aarp.org/aarp-foundation,"[""Nonprofit - Incorporated""]"
80,active,ABC Home and Commercial Services,,,,,"[""None or unknown""]"
103,active,Abrazo Adoption Associates,,"Operates a private, nonprofit adoption agency.",,http://abrazo.org/,"[""Nonprofit - Incorporated""]"
125,active,ACCION Texas (Austin Office),,,accion@accionnm.org,http://us.accion.org/your-accion/location/texas,"[""Nonprofit""]"
127,active,ACES,,"Provides applied behavioral analysis (ABA) for children and adolescents in center, home or community settings.",,https://acesaba.com,"[""None or unknown""]"
131,active,ACLU of Texas,,"Works in the courts, legislature, and through public education to protect civil rights and individual liberties.",,https://www.aclutx.org,"[""Nonprofit - Incorporated""]"
132,active,ACT (American College Testing),,Administers the ACT college readiness assessment.,,http://act.org,"[""Nonprofit""]"
138,active,Adapt Of Texas - Austin,,"Provides a grassroots disability right group, which advocates for and provides information about disability rights issues.",,https://adaptoftexas.org,"[""Nonprofit - Incorporated""]"
144,active,Addiction and Psychotherapy Services,schbach and Associates,,aps@ev1.net,https://www.austinmethadone.com,
145,active,Addiction Policy Forum,Addiction Resource Center,"Supports patients, families, and providers with information about addiction and connects them to quality treatment and recovery resources through a national database and 24/7 helpline.",,https://www.addictionpolicy.org/,"[""Nonprofit - Incorporated""]"
149,active,Administrative Greater Austin,"AICs with Online Databases, Special Needs Registry",This agency record is attached to administrative or generic programs.,,https://unitedwayaustin.org,"[""Nonprofit - Unincorporated""]"
151,active,"Adoption Advocates, Inc.",,Provides adoption planning and counseling services to expectant parents and prospective adoptive parents.,,https://www.adoptionadvocates.net,"[""Nonprofit - Incorporated""]"
152,active,Adoption Center,,"Expands adoption opportunities for children living in foster care throughout the United States by hosting match events, creating media partnerships, and increasing education and awareness. Refers families interesting in pursing foster care adoption to local agencies and assists them through their home study process.",,http://www.adopt.org,"[""Nonprofit - Incorporated""]"
