Agency_Id,Site_Id,Site_CreateFormsetDeploymentId,Site_EditAccountId,Site_EditPortalId,Site_EditFormsetDeploymentId,Site_CreateStamp,Site_EditStamp,Site_AuditStamp,Site_Status,SiteSystem_ContentBlock13,SiteSystem_Name,SiteSystem_Aka,SiteSystem_Fax,SiteCustom_FaxNumberDetails,SiteCustom_TddPhoneNumber,SiteCustom_TddPhoneNumberDetails,SiteSystem_Websiteurl,SiteSystem_EmailAddress,SiteSystem_AdaAccess,SiteCustom_HoursOfOperation,SiteSystem_PhoneMain,SiteCustom_MainPhoneName,SiteCustom_MainPhoneDescription,SiteCustom_PhoneNumber2,SiteCustom_PhoneNumber2Name,SiteCustom_PhoneNumber2Description,SiteCustom_PhoneNumber3,SiteCustom_PhoneNumber3Name,SiteCustom_PhoneNumber3Description,SiteCustom_PhoneNumber4,SiteCustom_PhoneNumber4Name,SiteCustom_PhoneNumber4Description,SiteAddressus_SiteAddressus_id,SiteAddressus_SiteAddressus_address_1,SiteAddressus_SiteAddressus_address_2,SiteAddressus_SiteAddressus_city,SiteAddressus_SiteAddressus_county,SiteAddressus_SiteAddressus_state,SiteAddressus_SiteAddressus_zip,SiteAddressus_SiteAddressus_country,SiteAddressus_SiteAddressus_notes,SiteAddressus_SiteAddressus_latitude,SiteAddressus_SiteAddressus_longitude,SiteAddressus_MailingAddress_id,SiteAddressus_MailingAddress_address_1,SiteAddressus_MailingAddress_address_2,SiteAddressus_MailingAddress_city,SiteAddressus_MailingAddress_county,SiteAddressus_MailingAddress_state,SiteAddressus_MailingAddress_zip,SiteAddressus_MailingAddress_country,SiteAddressus_MailingAddress_notes,SiteAddressus_MailingAddress_latitude,SiteAddressus_MailingAddress_longitude,SiteOption_Status,SiteSystem_SiteStaffNotes,SiteOption_RecordOwner,SiteSystem_DataSourceCode,SiteCustom_ExcludeFromDirectory,SiteCustom_PreferredProvider,SiteCustom_LastVerifiedOn,SiteCustom_LastVerifiedTitle,SiteSystem_EditNotes,SiteSystem_StaffNotes,SiteCustom_TemporaryMessage,SiteCustom_TemporaryMessageStart,SiteCustom_TemporaryMessageEnd,SiteCustom_EnteredOn,SiteSystem_DateOfLastCompleteUpdate,SiteSystem_LastEditDate,SiteCustom_MadeInactiveOn
1,1,150,37,1,122,2023-08-30 16:59:26,2023-10-17 10:47:57,,active,,Caldwell County Court at Law Judge,,512-668-4962,,,,,,Location is accessible to people with disabilities,,512-398-6527,Caldwell County Court at Law Judge,,,,,,,,,,,2,1703 South Colorado Street,Caldwell County Justice Center,Lockhart,Caldwell,TX,78644,US,,29.8628907,-97.6701562,1,,,,,,,US,,0,0,"[""Inactive""]",,"[""South Central""]",,false,false,2020/10/15,,,10/15/2020 JK Added agency b/c County Judge's office doesn't handle these cases anymore; added  per website; tried to contact someone multiple times with no luck,,,,2020/09/22,,2020/10/15,2020/09/22
15,16,150,25,1,150,2023-08-30 16:59:30,2023-08-31 15:55:35,,active,,Placeholder 1,,,,,,,,,,,,,,,,,,,,,,62,,,,,,,US,,0,0,61,,,,,,,US,,0,0,"[""Inactive""]",,"[""South Central""]",,false,false,,,,,,,,2019/11/27,,,2019/11/27
15,17,150,25,1,150,2023-08-30 16:59:30,2023-08-31 15:55:35,,active,,Placeholder 2,,,,,,,,,,,,,,,,,,,,,,66,,,,,,,US,,0,0,65,,,,,,,US,,0,0,"[""Inactive""]",,"[""South Central""]",,false,false,,,,,,,,2019/11/27,,,2019/11/27
15,18,150,25,1,150,2023-08-30 16:59:30,2023-08-31 15:55:35,,active,,Placeholder 3,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,US,,0,0,69,,,,,,,US,,0,0,"[""Inactive""]",,"[""South Central""]",,false,false,,,,,,,,2019/11/27,,,2019/11/27
15,19,150,25,1,150,2023-08-30 16:59:30,2023-08-31 15:55:35,,active,,Placeholder 4,,,,,,,,,,,,,,,,,,,,,,74,,,,,,,US,,0,0,73,,,,,,,US,,0,0,"[""Inactive""]",,"[""South Central""]",,false,false,,,,,,,,2019/11/27,,,2019/11/27
15,20,150,25,1,150,2023-08-30 16:59:31,2023-08-31 15:55:35,,active,,Placeholder 5,,,,,,,,,,,,,,,,,,,,,,78,,,,,,,US,,0,0,77,,,,,,,US,,0,0,"[""Inactive""]",,"[""South Central""]",,false,false,,,,,,,,2019/11/27,,,2019/11/27
25,36,150,53,1,122,2023-08-30 16:59:34,2024-03-16 09:57:59,,active,,"Llano, Blanco, and San Saba District Attorney's Office",,,,,,http://www.33districtattorney.com,mdavis@burnetcountytexas.org,Location is accessible to people with disabilities,Mon - Fri 8:00 am - 5:00 pm,512-756-7609,Victim Services,,,,,,,,,,,142,811 Berry St,,Llano,Llano,TX,78643,US,,30.66432,-98.57766,141,PO Box 725,,Llano,,TX,78643,US,,0,0,"[""Active""]",,"[""South Central""]",,false,false,2024/03/16,Victim Coordinator,3/16/24 sn - Completed via email update,,,,,2016/12/29,2024/03/16,2024/03/16,
25,37,150,53,1,122,2023-08-30 16:59:35,2024-03-16 09:54:15,,active,,Burnet District Attorney's Office,,512-756-8572,,,,http://www.33districtattorney.com,mdavis@burnetcountytexas.org,Location is accessible to people with disabilities,Mon - Fri 8:00 am - 5:00 pm,512-756-7609,Victim Services,,,,,,,,,,,146,1701 E Polk,Ste 24,Burnet,Burnet,TX,78611,US,,30.760647,-98.226073,145,1701 E Polk,Ste 24,Burnet,,TX,78611,US,,0,0,"[""Active""]",,"[""South Central""]",,false,false,2024/03/16,Victim Coordinator,3/16/24 sn - Completed via email update,,,,,,2024/03/16,2024/03/16,
30,49,150,53,1,122,2023-08-30 16:59:38,2024-05-20 12:43:30,,active,,4:12 Kids Administrative Office,,,,,,https://www.412kids.org,admin@412kids.org,Location is accessible to people with disabilities,"Office Hours: Tues - Fri 9:00 am - 12:00 pm, 1:00 pm - 5:00 pm

Event hours vary",512-668-4334,Office,,,,,,,,,,,194,521 N Pecos St,,Lockhart,Caldwell,TX,78644,US,,29.8877,-97.6792,193,PO Box 1324,,Lockhart,,TX,78644,US,,0,0,"[""Active""]",,"[""South Central""]",,false,false,2024/05/20,Founder & President,"5/20/24 sn - Completed via email update. Completed material assistance & back to school records, others are seasonal so inactive for now.",,,,,2023/06/09,2024/05/20,2024/05/20,
43,69,150,37,1,117,2023-08-30 16:59:43,2023-11-02 12:16:11,,active,,Austin Office,,512-354-7467,,,,,services@anewentry.org,Location is accessible to people with disabilities,,512-464-1250,Office,,,,,,,,,,,274,1808 Webberville Rd,,Austin,Travis,TX,78721,US,,30.307418,-97.683871,273,,,,,TX,,US,,0,0,"[""Active""]",,"[""South Central""]",,false,false,2023/06/16,Clinical Director,6/16/2023 er updated via email with Natasha7/21/2022 lt phone update with Tina8/9/2021 se updated with Natasha,,,,,,,2023/06/16,
43,70,150,37,1,117,2023-08-30 16:59:43,2023-11-02 12:16:11,,active,,Del Valle Office,,,,,,,,,,512-464-1250,Intake Coordinator,,,,,,,,,,,278,3320 FM 973,,Del Valle,Travis,TX,78617,US,,30.20142,-97.63965,277,,,Austin,,,,US,,0,0,"[""Active""]",,"[""South Central""]",,false,false,2022/07/21,Admissions Director,"7/21/2022 lt phone update with Tina8/9/2021 se updated with Natasha, Changed from McCabe to Del Valle",,,,,2020/12/29,,2022/07/21,
49,77,150,40,1,122,2023-08-30 16:59:44,2023-12-07 09:24:45,,active,,Headquarters,Tarrant County Site,,,,,,,Location is accessible to people with disabilities,,,,,,,,,,,,,,306,3751 West Freeway,,Fort Worth,Tarrant,TX,76107,US,,32.7320935,-97.3739189,305,,,,,,,US,,0,0,"[""Active""]",,"[""TIRN""]",,false,false,2023/12/07,Program Specialist I,,,,,,,,2022/12/08,
60,36926,117,40,1,122,2023-11-21 13:15:07,2024-05-30 09:38:59,,active,,No Physical Location,,,,,,,,Location is accessible to people with disabilities,,,,,,,,,,,,,,145497,,,,,,,US,,0,0,145496,,,,,,,US,,0,0,,,"[""TIRN""]",,,,2024/05/30,,GOING FWD: determine if physical or mailing address available. 11/21/2023 - Added no physical site so resource can display on referral module. CD,,,,,,,2023/11/21,
60,37001,117,40,1,122,2023-11-21 13:30:03,2024-05-30 09:33:51,,active,,No Physical Location,,,,,,,,Location Accessible for Persons with Disabilities,,,,,,,,,,,,,,145797,,,,,,,US,,0,0,145796,,,,,,,US,,0,0,"[""Active""]",,"[""TIRN""]",,false,false,2024/05/30,,GOING FWD: determine if physical or mailing address available. 11/21/2023 - Added no physical site so resource can display on referral module. CD,,,,,,,2023/11/21,
64,37420,122,84,1,122,2024-03-14 16:16:42,2024-03-14 16:16:42,,active,,AARPA Foundation - Austin Office,,,,,,,,This location is accessible for people with disabilities.,,512-391-9299,Austin Office,,,,,,,,,,,146537,7701 North Lamar Boulevard,Suite 319,Austin,Travis,TX,78752,US,,30.3457517,-97.714049,,,,,,,,,,,,"[""Active""]",,"[""South Central""]",,,,2024/03/14,Project Director,3/14/2024 LT added site for SCSEP program,,,,,2024/03/14,2024/03/14,2024/03/14,
80,178,150,25,1,150,2023-08-30 17:00:10,2023-08-31 15:55:44,,active,,Headquarters,,,,,,,,,,,,,,,,,,,,,,710,9475 E Highway 290,,Austin,,TX,78724,US,,30.292661,-97.631299,709,,,,,,,US,,0,0,"[""Inactive""]",,"[""South Central""]",,false,false,,,,,,,,2018/03/29,,,2018/03/29
103,214,150,40,1,122,2023-08-30 17:00:19,2023-12-07 10:39:39,,active,,Headquarters,,,,,,,,Location is accessible to people with disabilities,,,,,,,,,,,,,,854,3123 Northwest Loop 410,,San Antonio,Bexar,TX,78230,US,,29.535262,-98.490997,853,,,,,TX,,US,,0,0,"[""Active""]",,"[""TIRN""]",,false,false,2023/12/07,Program Specialist I,,,,,,2017/08/17,,2022/12/09,
125,270,150,310,1,122,2023-08-30 17:00:34,2023-09-28 16:31:36,,active,,Austin Office,,512-443-2987,,,,https://www.acciontexas.org,,Designated Parking,,866-312-3771,Main Phone,,,,,,,,,,,1078,1234 Main Street,,,,,,US,,30.2293072,-97.6841228,1077,,,,,,,US,,30.2293072,-97.6841228,"[""Inactive""]",,"[""TIRN""]",,false,false,,,,,,,,,,2023/09/27,2017/04/17
